;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
0;IND00M01;Градоначелник/председник општине;6;2021;70017;Александровац;МИРКО МИХАЈЛОВИЋ;6/1/2021 9:41:50 AM;6/1/2021 9:41:50 AM;A;Републички завод за статистику (РЗС)
1;IND01G01;Површина (у км²);0;2020;70017;Александровац;387;1/27/2021 10:15:39 AM;1/27/2021 10:22:18 AM;A;Републички геодетски завод (РГЗ)
2;IND01G02;Број становника - процена (последњи расположив податак за годину);0;2019;70017;Александровац;23898;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
3;IND01G03;Густина насељености (број становника / км2);0;2019;70017;Александровац;62;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
4;IND01G04;Број насеља;0;2020;70017;Александровац;55;1/27/2021 10:15:39 AM;1/27/2021 10:22:18 AM;A;Републички завод за статистику (РЗС)
5;IND01G05;Број живорођених;0;2019;70017;Александровац;172;7/13/2020 2:47:40 PM;7/13/2020 2:47:40 PM;A;Републички завод за статистику (РЗС)
6;IND01G07;Степен развијености ЈЛС према Закону о регионалном развоју;0;2014;70017;Александровац;II група;2/10/2017 8:48:45 AM;2/10/2017 8:48:45 AM;A;Министарство привреде
7;IND01G08;Степен развијености е-управе;0;2015;70017;Александровац;0.309491409041355;6/15/2017 1:26:49 PM;6/15/2017 1:26:49 PM;A;Канцеларија за информационе технологије и електронску управу (ИТЕ)
8;IND01G10;Укупна дужина водоводне мреже;0;2017;70017;Александровац;199;4/4/2019 11:17:56 AM;4/4/2019 11:17:56 AM;A;Републички завод за статистику (РЗС)
9;IND01G1001;Број становника према Попису 2011;0;2011;70017;Александровац;26522;2/10/2017 9:32:24 AM;2/10/2017 9:32:24 AM;A;Републички завод за статистику (РЗС)
10;IND01G1002;Број домаћинстава према Попису 2011;0;2011;70017;Александровац;8146;2/10/2017 9:20:42 AM;4/12/2017 1:01:02 PM;A;Републички завод за статистику (РЗС)
11;IND01G11;Укупна дужина канализационе мреже;0;2017;70017;Александровац;51;4/4/2019 12:04:39 PM;4/4/2019 2:34:50 PM;A;Републички завод за статистику (РЗС)
12;IND02G01;Број великих предузећа ;0;2017;70017;Александровац;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
13;IND02G02;Број средњих предузећа ;0;2017;70017;Александровац;1;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
14;IND02G03;Број малих предузећа ;0;2017;70017;Александровац;25;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
15;IND02G04;Број микро предузећа;0;2017;70017;Александровац;178;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
16;IND02G05;Број без ознаке за величину;0;2017;70017;Александровац;20;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
